FIRST_NAME;LAST_NAME;VALUE_DAY;CURRENCY_CODE;MEMBERSHIP_CODE;VALUE_AMT
Raisa;Benford;01.08.2020;EUR;L;99
Louanne;Hillwig;01.08.2020;EUR;L;99
Merrie;Weideman;01.08.2020;RUR;L;8613
Cristopher;Brownfield;02.08.2020;RUR;L;8613
Laronda;Coe;02.08.2020;EUR;M;59
Yen;Latimore;02.08.2020;USD;M;64,9
January;Randazzo;02.08.2020;EUR;S;29
Terina;Shira;02.08.2020;EUR;S;29
Emilie;Nemitz;03.08.2020;EUR;M;59
August;Darland;04.08.2020;RUR;L;8613
Annalee;Gulbranson;04.08.2020;USD;S;31,9
Levi;Basham;05.08.2020;EUR;L;99
Jalisa;Keala;07.08.2020;EUR;XL;129
Winter;Mckillop;07.08.2020;EUR;M;59
Richie;Petrey;07.08.2020;RUR;L;8613
Tawny;Jeske;08.08.2020;USD;L;108,9
Magdalena;Ratcliffe;08.08.2020;RUR;M;5133
Mariette;Swick;08.08.2020;EUR;L;99
Lavina;Ackles;09.08.2020;EUR;L;99
Helene;Hargrove;09.08.2020;EUR;M;59
Tonisha;Vanbeek;09.08.2020;EUR;L;99
Douglas;Charity;10.08.2020;USD;L;108,9
Darcey;Heide;10.08.2020;USD;S;31,9
Willy;Frink;11.08.2020;EUR;XL;129
Loyd;Grosz;11.08.2020;EUR;L;99
Victor;Hilliker;11.08.2020;EUR;L;99
Arlyne;Honda;11.08.2020;RUR;L;8613
Ja;Moscato;11.08.2020;RUR;L;8613
Soraya;Lashbrook;12.08.2020;RUR;S;2523
Ranae;Lumpkins;12.08.2020;RUR;M;5133
Louie;Scarpelli;12.08.2020;RUR;S;2523
Beverley;Silveira;12.08.2020;EUR;S;29
Kristle;Vien;12.08.2020;EUR;M;59
Kellie;Bail;13.08.2020;EUR;XL;129
Susan;Duffield;13.08.2020;USD;L;108,9
Mason;Henslee;14.08.2020;RUR;L;8613
Justina;Stonecipher;14.08.2020;USD;L;108,9
Daniele;Euell;15.08.2020;USD;L;108,9
Carlene;Felice;15.08.2020;RUR;XL;11223
Maris;Nee;15.08.2020;EUR;S;29
Maryann;Weldy;15.08.2020;EUR;M;59
Lakendra;Zick;15.08.2020;EUR;S;29
Katina;Abernethy;16.08.2020;EUR;XL;129
Loraine;Bensley;16.08.2020;EUR;XL;129
Luanne;Boucher;16.08.2020;EUR;L;99
Elmer;Gean;16.08.2020;USD;S;31,9
Danae;Smullen;16.08.2020;USD;L;108,9
Joanne;Kingery;17.08.2020;USD;L;108,9
Rachael;Scheff;17.08.2020;USD;L;108,9
Shaniqua;Truesdale;17.08.2020;RUR;L;8613
Niki;Castano;18.08.2020;RUR;L;8613
Gregoria;Fant;18.08.2020;USD;M;64,9
Chasidy;Nixon;18.08.2020;USD;S;31,9
Herta;Blind;19.08.2020;RUR;M;5133
Jeniffer;Brace;19.08.2020;USD;L;108,9
Edmond;Dawe;19.08.2020;EUR;L;99
Carmelina;Hewett;19.08.2020;RUR;XL;11223
Gwendolyn;Westerlund;19.08.2020;EUR;M;59
Zofia;Ambler;20.08.2020;RUR;M;5133
Irena;Byrge;20.08.2020;RUR;M;5133
Jovita;Fesler;20.08.2020;USD;L;108,9
Sherryl;Gateley;20.08.2020;USD;M;64,9
Andera;Valliere;20.08.2020;EUR;L;99
Chas;Vandever;20.08.2020;EUR;M;59
Trenton;Dargan;21.08.2020;EUR;M;59
Leland;Gales;21.08.2020;EUR;L;99
Shayna;Mahan;21.08.2020;USD;XL;141,9
Jude;Brashier;22.08.2020;USD;S;31,9
Alfredo;Hursey;22.08.2020;USD;L;108,9
Euna;Mak;22.08.2020;USD;S;31,9
Lesa;Mehaffey;22.08.2020;EUR;XL;129
Connie;Newingham;22.08.2020;EUR;M;59
Gena;Dacanay;23.08.2020;EUR;S;29
Rudolph;Glickman;23.08.2020;EUR;S;29
Debora;Hoang;23.08.2020;EUR;L;99
Hector;Redwine;23.08.2020;EUR;S;29
Pamelia;Bergquist;25.08.2020;EUR;L;99
Zina;Bilal;25.08.2020;USD;M;64,9
Sylvia;Olander;25.08.2020;EUR;S;29
Charlette;Radtke;25.08.2020;EUR;M;59
Twana;Willet;25.08.2020;USD;L;108,9
Genesis;Kowalczyk;26.08.2020;EUR;L;99
Ailene;Frieden;27.08.2020;EUR;S;29
Terrence;Mustafa;27.08.2020;EUR;M;59
Stephani;Mincy;28.08.2020;EUR;L;99
Dreama;Moman;28.08.2020;EUR;XL;129
Hanh;Whitesell;28.08.2020;RUR;XL;11223
Mikel;Brockway;29.08.2020;EUR;L;99
Mirta;Cannon;29.08.2020;RUR;XL;11223
Regena;Kita;29.08.2020;USD;M;64,9
Starr;Krogh;29.08.2020;RUR;XL;11223
Dan;Rozelle;29.08.2020;EUR;XL;129
Lashell;Abbas;30.08.2020;EUR;S;29
Celsa;Bumbalough;30.08.2020;RUR;L;8613
Leonie;Rakowski;30.08.2020;EUR;L;99
Vena;Sedor;30.08.2020;USD;L;108,9
Rolf;Sharrow;30.08.2020;EUR;S;29
Bobette;Shuff;30.08.2020;RUR;XL;11223
Daniela;Russaw;31.08.2020;EUR;XL;129
Latonia;Vanwyk;31.08.2020;USD;S;31,9
Helene;Hargrove;02.09.2020;USD;M;64,9
Carmelina;Hewett;02.09.2020;USD;M;64,9
Yen;Latimore;02.09.2020;EUR;L;99
Tonisha;Vanbeek;02.09.2020;EUR;XL;129
Jeniffer;Brace;03.09.2020;EUR;M;59
Cristopher;Brownfield;03.09.2020;EUR;M;59
Edmond;Dawe;03.09.2020;EUR;M;59
Susan;Duffield;03.09.2020;EUR;XL;129
Daniele;Euell;03.09.2020;USD;L;108,9
Annalee;Gulbranson;03.09.2020;USD;S;31,9
Stephani;Mincy;03.09.2020;EUR;XL;129
Hector;Redwine;03.09.2020;RUR;XL;11223
Vena;Sedor;03.09.2020;USD;M;64,9
Lashell;Abbas;04.09.2020;RUR;S;2523
Loyd;Grosz;05.09.2020;EUR;M;59
Louanne;Hillwig;05.09.2020;USD;XL;141,9
Connie;Newingham;05.09.2020;EUR;L;99
Louie;Scarpelli;05.09.2020;EUR;L;99
Rolf;Sharrow;05.09.2020;EUR;XL;129
Lakendra;Zick;05.09.2020;EUR;XL;129
Levi;Basham;06.09.2020;EUR;L;99
Debora;Hoang;06.09.2020;RUR;XL;11223
Starr;Krogh;06.09.2020;USD;M;64,9
Lavina;Ackles;07.09.2020;EUR;S;29
Zofia;Ambler;07.09.2020;USD;L;108,9
Sherryl;Gateley;07.09.2020;EUR;L;99
Andera;Valliere;07.09.2020;EUR;L;99
Katina;Abernethy;08.09.2020;EUR;L;99
Mikel;Brockway;08.09.2020;RUR;M;5133
Laronda;Coe;08.09.2020;EUR;M;59
Ailene;Frieden;08.09.2020;EUR;M;59
