FIRST_NAME;LAST_NAME;VALUE_DAY;CITY;VENUE;STANDALONE_FLG
Zofia;Ambler;04.08.2020;Vorkuta;Openlane;Y
Kellie;Bail;04.08.2020;Vorkuta;Condax;N
Loraine;Bensley;04.08.2020;Sochi;Funholding;Y
Herta;Blind;04.08.2020;Vorkuta;Opentech;Y
Jeniffer;Brace;04.08.2020;Moscow;Faxquote;N
Jeniffer;Brace;04.08.2020;Moscow;Ron-tech;N
August;Darland;04.08.2020;Norilsk;Sunnamplex;N
August;Darland;04.08.2020;Norilsk;Ontomedia;Y
Jovita;Fesler;04.08.2020;Sochi;Plussunin;N
Leland;Gales;04.08.2020;Yekaterinburg;Labdrill;N
Leland;Gales;04.08.2020;Yekaterinburg;Donware;N
Leland;Gales;04.08.2020;Yekaterinburg;Labdrill;N
Helene;Hargrove;04.08.2020;Norilsk;dambase;Y
Mason;Henslee;04.08.2020;Sochi;Rangreen;N
Victor;Hilliker;04.08.2020;Saint-Petersburg;Mathtouch;N
Joanne;Kingery;04.08.2020;Yekaterinburg;Labdrill;Y
Yen;Latimore;04.08.2020;Sochi;Plussunin;N
Yen;Latimore;04.08.2020;Sochi;Hottechi;N
Ranae;Lumpkins;04.08.2020;Saint-Petersburg;Mathtouch;N
Ranae;Lumpkins;04.08.2020;Saint-Petersburg;year-job;N
Stephani;Mincy;04.08.2020;Saint-Petersburg;Conecom;N
Connie;Newingham;04.08.2020;Norilsk;Zencorporation;Y
Chasidy;Nixon;04.08.2020;Vorkuta;Statholdings;N
Chasidy;Nixon;04.08.2020;Vorkuta;Openlane;Y
January;Randazzo;04.08.2020;Sochi;Hottechi;N
Dan;Rozelle;04.08.2020;Norilsk;Betasoloin;Y
Vena;Sedor;04.08.2020;Vorkuta;Openlane;N
Vena;Sedor;04.08.2020;Vorkuta;Openlane;N
Mariette;Swick;04.08.2020;Moscow;Faxquote;N
Mariette;Swick;04.08.2020;Moscow;Toughzap;Y
Mariette;Swick;04.08.2020;Moscow;Faxquote;N
Shaniqua;Truesdale;04.08.2020;Moscow;Singletechno;N
Latonia;Vanwyk;04.08.2020;Vorkuta;Openlane;N
Zina;Bilal;05.08.2020;Norilsk;Ontomedia;N
Jude;Brashier;05.08.2020;Yekaterinburg;Scotfind;Y
Mikel;Brockway;05.08.2020;Sochi;Plussunin;N
Edmond;Dawe;05.08.2020;Norilsk;Ontomedia;Y
Susan;Duffield;05.08.2020;Sochi;Funholding;N
Daniele;Euell;05.08.2020;Norilsk;Ontomedia;Y
Daniele;Euell;05.08.2020;Norilsk;Scottech;Y
Gregoria;Fant;05.08.2020;Vorkuta;Openlane;Y
Jalisa;Keala;05.08.2020;Yekaterinburg;Donware;Y
Sylvia;Olander;05.08.2020;Vorkuta;Openlane;N
Bobette;Shuff;05.08.2020;Norilsk;Ontomedia;Y
Latonia;Vanwyk;05.08.2020;Vorkuta;Openlane;N
Lashell;Abbas;06.08.2020;Yekaterinburg;Sumace;N
Lashell;Abbas;06.08.2020;Yekaterinburg;Labdrill;Y
